Carimbo de data/hora,1 - Você já utilizou o MOJ ?,1 - Qual seu sexo ?,2 - Qual a sua idade ?,3 - Qual o seu curso ?,4 - Qual o seu período?,1 - Você sente facilidade para encontrar as suas listas de atividades no MOJ ? ,2 -  Você já enfrentou problemas para saber oque está acontecendo com o seu código dentro do MOJ ?,3 - Como você avalia a acessibilidade do MOJ ?,"4 - Em relação aos problemas que você encontra no MOJ, você se sente auxiliado em relação a eles ?", 5 -  O MOJ fornece feedback útil quando cometo erros ou encontro problemas?,"6 -  Sobre a afirmação: ""O MOJ é uma plataforma inclusiva""","7 - Sobre a afirmação: ""O MOJ informa sobre o status do sistema durante o uso.""
Exemplo:","8 - Sobre a afirmação: ""É fácil corrigir uma ação caso cometa um erro ao submeter a questão.""
Exemplo: corrigir o arquivo de um código já enviado. 🗑","9 - Sobre a afirmação: ""A aparência do MOJ é  agradável as olhos"".","10 - Sobre a afirmação: ""O MOJ é um site intuitivo de se navegar""","11 - Sobre a afirmação: ""É fácil acessar informações de ajuda ou documentação quando você precisa de orientação.""","12 - Caso já tenha usado outro(s) juiz(es) eletrônico(s), como você avaliaria o MOJ comparativamente?",13 - O que você menos gosta no site do MOJ? Que melhorias você sugere para o site ?
08/09/2023 15:44:48,Sim,Feminino,De 18 anos até 23 anos,Engenharia de software,,,Nunca sei oque está acontecendo com meu código,,,,,,,,,,,
08/09/2023 15:52:39,Sim,Feminino,De 18 anos até 23 anos,Engenharia de software,,Raramente encontro minhas listas com facilidade,Nunca sei oque está acontecendo com meu código,Ruim,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,,,,Concordo parcialmente,Concordo parcialmente,,,"Interação, interface e a maneira que as listas estão dispostas"
08/09/2023 15:53:10,Sim,Masculino,De 18 anos até 23 anos,Engenharia de software,,Com frequência encontro minhas listas com facilidade,Raramente sei oque está acontecendo com meu código,Mediana,Não encontro problemas ao utilizar o MOJ >:(,Com frequência recebo feedback claro e útil,,,,Discordo totalmente,Sou neutro,,,0.0
08/09/2023 16:13:53,Sim,Masculino,De 18 anos até 23 anos,Engenharia de software,,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,,,,Discordo totalmente,Sou neutro,,,Falta de suporte. Reformulação do layout
18/09/2023 09:43:10,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,6° período,Ás vezes encontro minhas listas com facilidade,Nunca sei oque está acontecendo com meu código,Péssima,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Totalmente,Sou neutro,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Considero o MOJ abaixo da média,"Site não intuitivo. Em outros sites de juizes eletrônicos tem uma aba para os usuários poderem falar sobre a questão sem colocar a resposta, isso é útil para duvidas."
18/09/2023 19:07:50,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Com frequência encontro minhas listas com facilidade,Raramente sei oque está acontecendo com meu código,Péssima,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Parcialmente,Sou neutro,Discordo totalmente,Discordo totalmente,Sou neutro,Discordo totalmente,Considero o MOJ abaixo da média,
18/09/2023 19:25:48,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,8° período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Com frequência recebo feedback claro e útil,Concordo Parcialmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Considero o MOJ acima da média,
18/09/2023 19:26:46,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,6° período,Raramente encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Considero o MOJ abaixo da média,
18/09/2023 19:27:50,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,5° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Totalmente,Sou neutro,Concordo parcialmente,Concordo totalmente,Sou neutro,Concordo parcialmente,Considero o MOJ na média,Ele não informa verdadeiramente seu erro. E sequer dá uma dica de como corrigi-lo
18/09/2023 19:28:27,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,8° período,Com frequência encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Discordo Parcialmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sou neutro,Considero o MOJ abaixo da média,
